id,RA,Dec,observatory_code,magnitude,band,mjd
533211, 189.72198, 6.17665, F51, 22.904, G, 56811.375
533397, 213.35698, -8.51635, F51, 22.703, G, 56811.375
533563, 236.34010, -17.73972, F51, 22.236, G, 56811.375
533562, 229.87980, -11.05511, F51, 22.379, G, 56811.375
533561, 249.96475, -4.86485, F51, 22.475, G, 56811.375
533560, 242.57147, -2.62374, F51, 22.642, G, 56811.375
533508, 213.84631, -5.97158, F51, 22.668, G, 56811.375
533398, 242.83013, -5.89563, F51, 22.354, G, 56811.375
533507, 229.82317, -1.21329, F51, 22.368, G, 56811.375
533506, 197.64572, 1.68539, F51, 22.783, G, 56811.375
