,id,trksub,trkid,obs80,RA,Dec,observatory_code,magnitude,band,mjd
68, 472370685 , A10VMd3 , 00000HKBbr , 09006         C2023 06 30.89498220 02 30.022-36 12 40.72         15.87oV~6wZNM22 ,300.62509,-36.21131, M22 ,15.87, Ao   ,60125.894982060185
69, 503454305 , A1102hw , 00000HjKKP , G6673         C2023 06 30.89498219 58 56.273-36 02 03.26         18.46oV~7fwNM22 ,299.73447,-36.03424, M22 ,18.46, Ao   ,60125.894982060185
70, 503454197 , A1102hV , 00000HjKJy , 92967         C2023 06 30.89498219 47 59.172-39 59 26.74         17.91oV~7fONM22 ,296.99655,-39.99076, M22 ,17.91, Ao   ,60125.894982060185
71, 503456229 , A1102ph , 00000HjKSA , 24038         C2023 06 30.89498220 09 59.076-38 00 22.36         17.66oV~7eANM22 ,302.49615,-38.00621, M22 ,17.66, Ao   ,60125.894982060185
72, 503456369 , A1102qG , 00000HjKSj , C8388         C2023 06 30.89498219 46 39.449-39 19 37.16         18.40oV~7fhKM22 ,296.66437,-39.32699, M22 ,18.4, Ao   ,60125.894982060185
73, 503454113 , A1102hA , 00000HjKJd , 12483         C2023 06 30.89498220 08 03.334-38 55 40.40         17.67oV~7dqWM22 ,302.01389,-38.92789, M22 ,17.67, Ao   ,60125.894982060185
74, 503456921 , A1102sU , 00000HjKUx , 24031         C2023 06 30.89498220 07 29.628-38 18 36.32         18.38oV~7eAMM22 ,301.87345,-38.31009, M22 ,18.38, Ao   ,60125.894982060185
75, 503454861 , A1102kB , 00000HjKMe , A1470         C2023 06 30.89498220 08 20.674-38 32 48.48         17.95oV~7fT7M22 ,302.08614,-38.5468, M22 ,17.95, Ao   ,60125.894982060185
76, 503456821 , A1102s5 , 00000HjKUY , G2449         C2023 06 30.89498219 48 47.830-40 20 14.78         18.42oV~7fuzM22 ,297.19929,-40.33744, M22 ,18.42, Ao   ,60125.894982060185
77, 503457373 , A1102uJ , 00000HjKWm , A8245         C2023 06 30.89498219 50 21.737-36 48 18.11         18.45oV~7fWxM22 ,297.59057,-36.80503, M22 ,18.45, Ao   ,60125.894982060185
78, 472370826 , A10VMdh , 00000HKBcV , 02239         C2023 06 30.89498219 55 11.275-36 55 28.60         15.28oV~6wY9M22 ,298.79698,-36.92461, M22 ,15.28, Ao   ,60125.894982060185
79, 472370885 , A10VMdx , 00000HKBcl , 15562         C2023 06 30.89498220 09 42.151-38 40 54.30         16.04oV~6wZpM22 ,302.42563,-38.68175, M22 ,16.04, Ao   ,60125.894982060185
80, 472370718 , A10VMdC , 00000HKBc0 , 02867         C2023 06 30.89498219 45 51.074-36 20 42.50         15.08oV~6wYMM22 ,296.46281,-36.34514, M22 ,15.08, Ao   ,60125.894982060185
81, 503457325 , A1102u7 , 00000HjKWa , A4222         C2023 06 30.89498220 00 54.122-39 02 43.01         18.56oV~7fUYM22 ,300.22551,-39.04528, M22 ,18.56, Ao   ,60125.894982060185
82, 472371408 , A10VMgF , 00000HKBf3 , 01957         C2023 06 30.89498220 00 51.178-35 25 11.57         A1102s5 15.09oV~6wY4M22 ,300.21324,-35.41988, M22 ,15.09, Ao   ,60125.894982060185
83, 472373006 , A10VMnC , 00000HKBm0 , 52087         C2023 06 30.89498220 08 05.309-40 27 50.18         16.67oV~6wazM22 ,302.02212,-40.46394, M22 ,16.67, Ao   ,60125.894982060185
84, 503457189 , A1102tZ , 00000HjKW2 , 58032         C2023 06 30.89498219 55 02.438-38 19 45.98         18.51oV~7evEM22 ,298.76016,-38.32944, M22 ,18.51, Ao   ,60125.894982060185
85, 503455533 , A1102mt , 00000HjKPM , 78902         C2023 06 30.89498220 09 29.796-40 09 51.34         18.07oV~7fD8M22 ,302.37415,-40.16426, M22 ,18.07, Ao   ,60125.894982060185
86, 472374687 , A10VMuP , 00000HKBtD , 55327         C2023 06 30.89498220 04 38.347-36 23 52.22         17.49oV~6wb3M22 ,301.15978,-36.39784, M22 ,17.49, Ao   ,60125.894982060185
87, 472375004 , A10VMvm , 00000HKBuX , 49947         C2023 06 30.89498220 10 18.727-39 15 37.26         17.50oV~6wavM22 ,302.57803,-39.26035, M22 ,17.5, Ao   ,60125.894982060185
88, 503453581 , A1102f1 , 00000HjKHU , 71089         C2023 06 30.89498219 46 09.086-36 20 07.80         17.52oV~7f6LM22 ,296.53786,-36.3355, M22 ,17.52, Ao   ,60125.894982060185
89, 503456617 , A1102rG , 00000HjKTj , 70969         C2023 06 30.89498219 58 10.591-37 45 35.24         18.36oV~7f6DM22 ,299.54413,-37.75979, M22 ,18.36, Ao   ,60125.894982060185
90, 503456945 , A1102sa , 00000HjKV3 , 71022         C2023 06 30.89498219 59 11.738-36 22 32.70         18.64oV~7f6HM22 ,299.79891,-36.37575, M22 ,18.64, Ao   ,60125.894982060185
91, 503454165 , A1102hN , 00000HjKJq , 77510         C2023 06 30.89498219 57 38.290-35 37 50.27         17.79oV~7fBuM22 ,299.40954,-35.63063, M22 ,17.79, Ao   ,60125.894982060185
92, 472374116 , A10VMrx , 00000HKBql , 40613         C2023 06 30.89498219 51 05.532-39 50 14.68         17.17oV~6wagM22 ,297.77305,-39.83741, M22 ,17.17, Ao   ,60125.894982060185
93, 472374522 , A10VMti , 00000HKBsW , 51071         C2023 06 30.89498219 45 08.621-40 31 29.42         16.92oV~6waxM22 ,296.28592,-40.52484, M22 ,16.92, Ao   ,60125.894982060185
94, 503456713 , A1102re , 00000HjKU7 , 71673         C2023 06 30.89498219 48 15.833-37 41 12.95         17.89oV~7f6sM22 ,297.06597,-37.68693, M22 ,17.89, Ao   ,60125.894982060185
95, 503455437 , A1102mV , 00000HjKOy , E6378         C2023 06 30.89498220 04 18.485-40 00 00.14         18.00oV~7fq0M22 ,301.07702,-40.00004, M22 ,18.0, Ao   ,60125.894982060185
96, 503454229 , A1102hd , 00000HjKK6 , O9095         C2023 06 30.89498220 02 10.795-38 06 10.30         17.93oV~7gEXM22 ,300.54498,-38.10286, M22 ,17.93, Ao   ,60125.894982060185
