,track_id,mjd,RA,Dec,magnitude,observatory_code,band
0,01170,52233.14413,355.6080416666666,25.20777777777778,13.4 ,644,g
3,01620,52233.14413,355.6548333333333,25.789250000000003,16.0 ,644,g
6,01916,52233.14413,1.1046249999999997,23.15394444444444,16.6 ,644,g
9,07341,52233.14413,342.4282083333333,16.476249999999997,15.3 ,644,g
12,22180,52233.14413,1.8942916666666663,28.76961111111111,17.2 ,644,g
15,27655,52233.14413,4.509208333333333,28.891527777777778,16.2 ,644,g
18,27713,52233.14413,1.1307916666666666,26.63722222222222,17.7 ,644,g
21,27977,52233.14413,1.7956249999999998,23.463638888888887,17.3 ,644,g
24,28610,52233.14413,358.7515833333333,22.42591666666667,16.8 ,644,g
27,34744K01Q86S,52233.14413,356.0665,20.51038888888889,17.7 ,644,g
30,46306K01OA2W,52233.14413,352.63766666666663,19.27883333333333,18.9 ,644,g
33,48833J97Y05A,52233.14413,343.5492499999999,15.018500000000001,17.3 ,644,g
36,49389J98X20S,52233.14413,1.8921666666666666,24.17788888888889,17.6 ,644,g
39,54817K01N00B,52233.14413,338.6366666666666,14.311472222222223,16.6 ,644,g
42,55182K01QS2B,52233.14413,0.5337083333333332,22.501833333333334,18.9 ,644,g
45,55449K01TB8B,52233.14413,0.23262499999999997,26.054583333333333,18.3 ,644,g
48,57290K01QG9M,52233.14413,354.2523333333333,21.351972222222223,18.2 ,644,g
51,58701J98B42R,52233.14413,344.62229166666657,20.261416666666666,19.7 ,644,g
54,63784K01R09K,52233.14413,354.51658333333324,19.975583333333333,18.2 ,644,g
57,66092J98S00D,52233.14413,107.89233333333333,49.94108333333333,18.9 ,644,g
60,83604K01SR0G,52233.14413,2.6331249999999993,26.513,17.8 ,644,g
63,83909K01UI9B,52233.14413,357.2380833333333,21.809055555555556,18.7 ,644,g
66,99324K01U02J,52233.14413,357.73729166666664,23.917166666666667,19.3 ,644,g
69,A8882K01OA6F,52233.14413,346.7796666666666,15.843833333333334,18.8 ,644,g
72,A9072K01Q23N,52233.14413,1.613125,27.735277777777778,16.0 ,644,g
75,A9865K01RE4Y,52233.14413,344.22304166666663,21.249222222222222,18.9 ,644,g
81,C1008J99A10K,52233.14413,351.67291666666665,21.49661111111111,18.3 ,644,g
84,D1427K01O98W,52233.14413,1.3579999999999997,22.556055555555556,18.6 ,644,g
87,D1441K01Q82S,52233.14413,342.2882083333333,19.16775,17.9 ,644,g
90,Y4342K01W15Z,52233.14413,76.10508333333333,45.93238888888889,19.3 ,644,g
93,l4277K01U01D,52233.14413,338.65666666666664,17.77208333333333,19.5 ,644,g
