id,xcentroid,ycentroid,RA,Dec,magnitude,observation_date,telescope,plate_center_RA_deg,plate_center_Dec_deg,band,mjd,link_id,observatory_code,mag_err,RA_err,Dec_err,image_frame_id,exposure_s,ml_probs
25,327.31964885791297,28.56741121015414,345.51763101479617,21.051553374788853,18.385671982448567,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_25,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.5406172844035111
29,307.3520165118663,31.129802472790935,345.5236076675018,21.050847740014976,11.447482266927935,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_29,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.073615469
61,1741.0531446693008,55.356949666999846,345.09460229213624,21.043020416836736,20.677102075115044,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_61,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.2871096996959526
80,2041.7214582081322,68.10160969462167,345.00464873909283,21.039124672866155,17.704065652159468,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_80,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.003019405
92,3205.105289225801,77.02630943109556,344.6565505676829,21.034934539193014,17.121225717460135,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_92,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9885190306114046
177,1392.6500676193943,156.7884102942295,345.1989774649503,21.015081170567015,21.36082069218915,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_177,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9257542544519202
182,370.0334642481694,159.78625928328415,345.5049283,21.01495584204779,20.695408665117718,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_182,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.12805265776311672
247,2375.6078675690396,218.44623742619504,344.9049938930228,20.996761905828574,19.98521344518764,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_247,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.23958846830144903
303,48.78655041011048,258.1188493,345.60107741177075,20.98767430290083,20.275307097130987,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_303,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.4130630262997271
351,1648.7170124760833,306.37964441786363,345.1225595852812,20.973112244498846,20.330268041046995,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_351,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.6390718955815686
